route,run,score,fcp_ms,lcp_ms,tbt_ms,cls,speed_index_ms,script_kb,image_kb,transfer_kb,requests,file
/dashboard,1,90,369,372,261,0,369,67,0,72,7,dashboard-baseline-2026_05_31_10_14_04-report.json
/dashboard,2,89,373,377,280,0,373,67,0,72,7,dashboard-baseline-2026_05_31_10_14_15-report.json
/dashboard,3,90,369,373,264,0,369,67,0,72,7,dashboard-baseline-2026_05_31_10_14_26-report.json
/dashboard,4,90,368,372,268,0,368,67,0,72,7,dashboard-baseline-2026_05_31_10_14_36-report.json
/dashboard,5,88,367,370,292,0,367,67,0,72,7,dashboard-baseline-2026_05_31_10_14_47-report.json
/dashboard,6,90,381,387,263,0,381,67,0,72,7,dashboard-baseline-2026_05_31_10_14_58-report.json
/dashboard,7,88,366,369,290,0,366,67,0,72,7,dashboard-baseline-2026_05_31_10_15_09-report.json
/dashboard,8,89,366,370,272,0,366,67,0,72,7,dashboard-baseline-2026_05_31_10_15_19-report.json
/dashboard,9,89,367,370,281,0,367,67,0,72,7,dashboard-baseline-2026_05_31_10_15_31-report.json
/details/line-a,1,87,367,411,311,0.001,367,68,0,73,8,details_line_a-baseline-2026_05_31_10_20_24-report.json
/details/line-a,2,88,371,417,293,0,371,68,0,73,8,details_line_a-baseline-2026_05_31_10_20_35-report.json
/details/line-a,3,87,366,410,313,0.001,366,68,0,73,8,details_line_a-baseline-2026_05_31_10_20_46-report.json
/details/line-a,4,88,367,411,296,0.001,367,68,0,73,8,details_line_a-baseline-2026_05_31_10_20_56-report.json
/details/line-a,5,88,366,410,290,0.001,366,68,0,73,8,details_line_a-baseline-2026_05_31_10_21_06-report.json
/details/line-a,6,88,380,429,293,0.001,380,68,0,73,8,details_line_a-baseline-2026_05_31_10_21_17-report.json
/details/line-a,7,88,366,409,290,0.001,366,68,0,73,8,details_line_a-baseline-2026_05_31_10_21_27-report.json
/details/line-a,8,88,368,413,300,0.001,368,68,0,73,8,details_line_a-baseline-2026_05_31_10_21_38-report.json
/details/line-a,9,88,367,410,296,0.001,367,68,0,73,8,details_line_a-baseline-2026_05_31_10_21_48-report.json
/events,1,88,345,368,288,0.037,345,66,0,71,6,events-baseline-2026_05_31_10_15_41-report.json
/events,2,88,345,368,293,0.037,345,66,0,71,6,events-baseline-2026_05_31_10_15_51-report.json
/events,3,89,345,368,280,0.037,345,66,0,71,6,events-baseline-2026_05_31_10_16_02-report.json
/events,4,88,347,370,301,0.037,347,66,0,71,6,events-baseline-2026_05_31_10_16_13-report.json
/events,5,88,362,388,288,0.037,362,66,0,71,6,events-baseline-2026_05_31_10_16_23-report.json
/events,6,89,346,370,282,0.037,346,66,0,71,6,events-baseline-2026_05_31_10_16_34-report.json
/events,7,88,350,374,288,0.037,350,66,0,71,6,events-baseline-2026_05_31_10_16_44-report.json
/events,8,88,354,378,296,0.037,354,66,0,71,6,events-baseline-2026_05_31_10_16_55-report.json
/events,9,89,345,368,278,0.037,345,66,0,71,6,events-baseline-2026_05_31_10_17_05-report.json
/reports,1,88,367,411,298,0,367,67,0,72,7,reports-baseline-2026_05_31_10_17_16-report.json
/reports,2,87,368,412,302,0,368,67,0,72,7,reports-baseline-2026_05_31_10_17_26-report.json
/reports,3,87,383,433,316,0,383,67,0,72,7,reports-baseline-2026_05_31_10_17_36-report.json
/reports,4,87,367,411,313,0,367,67,0,72,7,reports-baseline-2026_05_31_10_17_47-report.json
/reports,5,87,380,428,309,0,380,67,0,72,7,reports-baseline-2026_05_31_10_17_58-report.json
/reports,6,88,365,408,299,0,365,67,0,72,7,reports-baseline-2026_05_31_10_18_08-report.json
/reports,7,87,366,409,305,0,366,67,0,72,7,reports-baseline-2026_05_31_10_18_19-report.json
/reports,8,88,365,408,300,0,365,67,0,72,7,reports-baseline-2026_05_31_10_18_29-report.json
/reports,9,87,367,411,315,0,367,67,0,72,7,reports-baseline-2026_05_31_10_18_40-report.json
/settings,1,100,343,363,0,0,343,63,0,67,5,settings-baseline-2026_05_31_10_18_51-report.json
/settings,2,100,343,364,0,0,343,63,0,67,5,settings-baseline-2026_05_31_10_19_01-report.json
/settings,3,100,343,363,0,0,343,63,0,67,5,settings-baseline-2026_05_31_10_19_11-report.json
/settings,4,100,349,371,0,0,349,63,0,67,5,settings-baseline-2026_05_31_10_19_21-report.json
/settings,5,100,343,364,0,0,343,63,0,67,5,settings-baseline-2026_05_31_10_19_32-report.json
/settings,6,100,342,363,0,0,342,63,0,67,5,settings-baseline-2026_05_31_10_19_42-report.json
/settings,7,100,342,363,0,0,342,63,0,67,5,settings-baseline-2026_05_31_10_19_53-report.json
/settings,8,100,343,363,0,0,343,63,0,67,5,settings-baseline-2026_05_31_10_20_03-report.json
/settings,9,100,343,363,0,0,343,63,0,67,5,settings-baseline-2026_05_31_10_20_13-report.json
