route,run,score,fcp_ms,lcp_ms,tbt_ms,cls,speed_index_ms,script_kb,image_kb,transfer_kb,requests,file
/dashboard,1,100,369,373,0,0,369,66,0,71,8,dashboard-2026_05_31_10_22_11-report.json
/dashboard,2,100,366,370,0,0,366,66,0,71,8,dashboard-2026_05_31_10_22_21-report.json
/dashboard,3,100,366,370,0,0,366,66,0,71,8,dashboard-2026_05_31_10_22_32-report.json
/dashboard,4,100,365,368,0,0,365,66,0,71,8,dashboard-2026_05_31_10_22_43-report.json
/dashboard,5,100,365,368,0,0,365,66,0,71,8,dashboard-2026_05_31_10_22_53-report.json
/dashboard,6,100,368,371,0,0,368,66,0,71,8,dashboard-2026_05_31_10_23_03-report.json
/dashboard,7,100,367,370,0,0,367,66,0,71,8,dashboard-2026_05_31_10_23_14-report.json
/dashboard,8,100,369,373,0,0,369,66,0,71,8,dashboard-2026_05_31_10_23_24-report.json
/dashboard,9,100,366,370,0,0,366,66,0,71,8,dashboard-2026_05_31_10_23_35-report.json
/details/line-a,1,100,387,438,0,0.001,387,67,0,72,9,details_line_a-2026_05_31_10_28_28-report.json
/details/line-a,2,100,368,412,0,0.001,368,67,0,72,9,details_line_a-2026_05_31_10_28_38-report.json
/details/line-a,3,100,367,411,0,0.001,367,67,0,72,9,details_line_a-2026_05_31_10_28_49-report.json
/details/line-a,4,100,366,410,0,0.001,366,67,0,72,9,details_line_a-2026_05_31_10_28_59-report.json
/details/line-a,5,100,368,412,0,0,368,67,0,72,9,details_line_a-2026_05_31_10_29_09-report.json
/details/line-a,6,100,366,410,0,0.001,366,67,0,72,9,details_line_a-2026_05_31_10_29_20-report.json
/details/line-a,7,100,367,411,0,0.001,367,67,0,72,9,details_line_a-2026_05_31_10_29_30-report.json
/details/line-a,8,100,366,409,0,0.001,366,67,0,72,9,details_line_a-2026_05_31_10_29_41-report.json
/details/line-a,9,100,366,409,0,0,366,67,0,72,9,details_line_a-2026_05_31_10_29_52-report.json
/events,1,100,347,370,0,0.037,347,64,0,69,7,events-2026_05_31_10_23_45-report.json
/events,2,100,347,370,0,0.037,347,64,0,69,7,events-2026_05_31_10_23_56-report.json
/events,3,100,345,368,0,0.037,345,64,0,69,7,events-2026_05_31_10_24_06-report.json
/events,4,100,346,369,0,0.037,346,64,0,69,7,events-2026_05_31_10_24_17-report.json
/events,5,100,345,368,0,0.037,345,64,0,69,7,events-2026_05_31_10_24_27-report.json
/events,6,100,345,368,0,0.037,345,64,0,69,7,events-2026_05_31_10_24_38-report.json
/events,7,100,346,369,0,0.037,346,64,0,69,7,events-2026_05_31_10_24_48-report.json
/events,8,100,345,369,0,0.037,345,64,0,69,7,events-2026_05_31_10_24_59-report.json
/events,9,100,346,369,0,0.037,346,64,0,69,7,events-2026_05_31_10_25_09-report.json
/reports,1,100,366,409,0,0,366,66,0,71,8,reports-2026_05_31_10_25_20-report.json
/reports,2,100,365,409,0,0,365,66,0,71,8,reports-2026_05_31_10_25_30-report.json
/reports,3,100,378,426,0,0,378,66,0,71,8,reports-2026_05_31_10_25_41-report.json
/reports,4,100,365,409,0,0,365,66,0,71,8,reports-2026_05_31_10_25_51-report.json
/reports,5,100,373,419,0,0,373,66,0,71,8,reports-2026_05_31_10_26_01-report.json
/reports,6,100,370,414,0,0,370,66,0,71,8,reports-2026_05_31_10_26_12-report.json
/reports,7,100,367,411,0,0,367,66,0,71,8,reports-2026_05_31_10_26_22-report.json
/reports,8,100,367,410,0,0,367,66,0,71,8,reports-2026_05_31_10_26_33-report.json
/reports,9,100,367,410,0,0,367,66,0,71,8,reports-2026_05_31_10_26_44-report.json
/settings,1,100,344,365,0,0,344,63,0,67,5,settings-2026_05_31_10_26_54-report.json
/settings,2,100,348,369,0,0,348,63,0,67,5,settings-2026_05_31_10_27_05-report.json
/settings,3,100,343,363,0,0,343,63,0,67,5,settings-2026_05_31_10_27_15-report.json
/settings,4,100,343,364,0,0,343,63,0,67,5,settings-2026_05_31_10_27_25-report.json
/settings,5,100,344,365,0,0,344,63,0,67,5,settings-2026_05_31_10_27_36-report.json
/settings,6,100,343,364,0,0,343,63,0,67,5,settings-2026_05_31_10_27_46-report.json
/settings,7,100,348,369,0,0,348,63,0,67,5,settings-2026_05_31_10_27_57-report.json
/settings,8,100,342,363,0,0,342,63,0,67,5,settings-2026_05_31_10_28_07-report.json
/settings,9,100,342,363,0,0,342,63,0,67,5,settings-2026_05_31_10_28_17-report.json
